	SES	GPA	SAT	Gender	Race	Random Acceptance	Partial Logistic Acceptance	Complete Logistic Acceptance
82	559553	3.7	976	Female	Latinx	1	1	0
83	590210	2.77	1238	Male	Latinx	1	0	1
84	688889	3.85	970	Female	White	0	0	1
85	629613	4.32	895	Female	Latinx	0	0	1
86	477790	4.31	1581	Female	Asian	0	1	0
87	606523	3.62	1996	Male	White	0	0	1
88	517816	3.22	1768	Male	Asian	1	1	0
89	599113	3.93	1629	Female	Latinx	1	0	1
90	1034774	3.88	1752	Male	White	0	0	1
91	780353	3.71	1839	Male	Asian	0	0	1
92	696747	3.12	1095	Male	Asian	0	0	1
93	585961	3.58	1383	Female	Asian	0	0	1
94	476183	3.47	1575	Female	Asian	0	1	0
95	635464	3.51	755	Female	Latinx	1	0	1
96	652824	3.39	1536	Male	Latinx	0	0	1
97	1033340	3.86	1800	Female	Asian	1	0	1
98	578053	3.56	1734	Female	Asian	1	1	1
99	684866	3.83	1455	Female	Latinx	0	0	1
100	485365	3.8	1961	Male	Asian	1	1	0
101	536205	4.31	1563	Female	Latinx	0	1	0
102	592201	4.14	1317	Female	Black	0	0	1
103	788977	3.04	1691	Female	Asian	0	0	1
104	621782	3.22	1534	Female	Latinx	1	0	1
105	952530	4.43	2508	Male	White	0	0	1
106	867156	3.76	1308	Female	Asian	1	0	1
107	692357	3.72	1491	Female	Asian	0	0	1
108	611273	3.45	1177	Male	White	0	0	1
109	656572	3.17	1397	Female	Latinx	0	0	1
110	788973	3.45	1410	Male	Asian	0	0	1
111	693782	3.63	1449	Male	White	1	0	1
112	520668	3.43	1172	Male	Asian	0	1	0
113	673648	3.59	730	Male	Latinx	1	0	1
114	758652	3.21	1564	Male	Latinx	1	0	1
115	627623	3.78	1521	Female	Asian	0	0	1
116	902670	3.87	1747	Female	Asian	0	0	1
117	470859	3.13	1168	Male	Asian	0	1	0
118	930035	4.65	1890	Male	White	1	0	1
119	802545	3.5	2326	Male	Asian	1	0	1
120	649819	2.72	768	Female	Latinx	1	0	1
121	936502	3.95	1788	Male	Asian	0	0	1
122	672051	3.81	1126	Female	Latinx	0	0	1
123	650596	3.83	995	Female	Black	1	0	1
124	665159	4.37	1310	Male	Latinx	0	0	1
125	623700	4.1	1125	Male	Latinx	0	0	1
126	567087	3.54	1282	Female	Latinx	0	1	0
127	878726	2.99	1486	Female	Asian	0	0	1
128	522316	3.85	1171	Female	White	1	1	0
129	706465	3.59	1867	Male	White	1	0	1
130	497903	3.16	950	Female	Black	0	1	0
131	608306	4.32	1028	Female	Latinx	0	0	1
132	840229	3.72	1534	Female	Asian	0	0	1
133	713618	3.96	1144	Male	Latinx	1	0	1
134	698452	4.21	797	Female	White	0	0	1
135	693875	3.44	1035	Female	Black	0	0	1
136	651235	3.79	1289	Female	Latinx	0	0	1
137	606863	3.47	1211	Male	Latinx	0	0	1
138	340524	1.77	1436	Male	White	1	1	0
139	659258	2.67	1072	Male	Latinx	0	0	1
140	623474	3.99	2336	Male	Asian	0	0	1
141	608957	4.04	1150	Female	Latinx	0	0	1
142	515575	3.54	1776	Male	Asian	0	1	0
143	543704	3.38	985	Female	Latinx	0	1	0
144	624482	2.11	1497	Female	Latinx	1	0	1
145	663985	3.68	1463	Female	Asian	1	0	1
146	549128	3.6	994	Male	Latinx	1	1	0
147	501664	3.24	1219	Female	Asian	0	1	0
148	740487	2.8	713	Female	Asian	1	0	1
149	625837	3.59	1613	Female	Asian	1	0	1
150	676868	3.41	1040	Female	Latinx	0	0	1
151	691435	3.26	1207	Female	Latinx	0	0	1
152	615806	3.77	1023	Female	White	1	0	1
153	419130	3.68	1516	Male	Asian	0	1	0
154	632737	3.53	1274	Female	Latinx	0	0	1
155	610669	3.75	831	Male	Latinx	0	0	1
156	606099	3.0	460	Male	Latinx	0	0	1
157	585647	3.56	1082	Female	Latinx	0	0	1
158	583730	4.13	1856	Male	Asian	1	1	1
159	716798	3.43	1779	Male	Latinx	0	0	1
160	732765	3.28	924	Male	Latinx	1	0	1
161	676955	3.13	1710	Male	White	1	0	1
162	708313	4.07	1548	Female	Asian	1	0	1
163	614399	3.17	1254	Female	Latinx	0	0	1
164	705710	3.24	1708	Male	Asian	1	0	1
165	645729	2.77	1434	Male	Latinx	1	0	1
166	908527	4.03	932	Female	Asian	0	0	1
167	541552	3.98	1124	Male	Latinx	0	1	0
168	607118	4.09	1421	Female	Latinx	1	0	1
169	632609	3.74	1178	Male	Latinx	1	0	1
170	507043	2.91	1233	Male	Latinx	0	1	0
171	736028	3.81	2020	Male	Asian	0	0	1
172	537004	3.84	1704	Male	White	0	1	0
173	437595	3.76	1600	Female	Asian	1	1	0
174	507738	4.59	988	Female	Latinx	1	1	0
175	607546	3.54	1400	Female	Latinx	1	0	1
176	686206	3.1	1633	Male	Asian	1	0	1
177	557415	3.25	1198	Female	Latinx	0	1	0
178	621132	3.45	1249	Female	Latinx	0	0	1
179	614487	3.26	1496	Male	Black	1	0	1
180	669463	3.59	780	Male	Asian	0	0	1
181	664021	4.48	1269	Female	Latinx	0	0	1
182	614644	3.24	951	Female	Latinx	0	0	1
183	667676	3.31	1135	Female	Latinx	1	0	1
184	549437	2.68	965	Female	Black	0	1	0
185	322131	4.14	1250	Female	Asian	1	1	0
186	671675	3.43	1704	Female	Latinx	0	0	1
187	733361	3.6	1247	Male	Latinx	0	0	1
188	653457	3.4	1264	Female	Black	0	0	1
189	615240	2.89	1206	Female	Latinx	1	0	1
190	684532	2.33	981	Male	White	1	0	1
191	594611	3.91	1184	Male	Latinx	1	0	1
192	708198	3.76	1146	Male	White	0	0	1
193	629870	3.55	1186	Female	Latinx	1	0	1
194	826796	3.72	1295	Male	Black	0	0	1
195	511328	4.04	720	Male	Latinx	0	1	0
196	814135	2.99	1359	Male	Asian	1	0	1
197	801968	3.75	1140	Female	Asian	0	0	1
198	829751	2.85	1455	Male	Asian	0	0	1
199	645737	3.19	402	Female	Latinx	0	0	1
200	814646	3.89	1450	Male	Asian	0	0	1
201	829458	4.52	1832	Male	White	0	0	1
202	511298	3.11	1345	Female	Asian	0	1	0
203	409762	3.34	1469	Male	Asian	0	1	0
204	528339	2.9	1249	Male	Latinx	0	1	0
205	703245	3.53	2261	Male	Asian	0	0	1
206	496328	3.46	1771	Female	White	0	1	0
207	685116	3.2	966	Female	Asian	1	0	1
208	590182	3.16	1357	Male	Asian	0	0	1
209	665994	3.25	1586	Male	Asian	0	0	1
210	759656	3.97	1519	Female	Asian	1	0	1
211	530292	3.82	1598	Male	White	1	1	0
212	597643	3.32	1258	Female	Asian	0	0	1
213	629142	4.05	1268	Male	Latinx	0	0	1
214	682157	3.65	1075	Female	Latinx	0	0	1
215	543901	4.94	1531	Male	Asian	0	1	0
216	722085	3.15	1685	Male	White	1	0	1
217	746676	3.78	1876	Male	Asian	1	0	1
218	814293	3.15	1457	Female	White	0	0	1
219	437900	2.99	1309	Male	Asian	0	1	0
220	880789	4.02	1575	Female	Asian	1	0	1
221	844138	3.89	1663	Male	Asian	0	0	1
222	756957	3.71	910	Female	Asian	0	0	1
223	720301	3.07	1521	Male	Asian	0	0	1
224	669436	3.18	1129	Female	Asian	0	0	1
225	661478	3.34	1071	Female	Latinx	0	0	1
226	641904	3.47	1644	Male	Asian	0	0	1
227	617706	3.05	989	Female	Black	0	0	1
228	699416	3.5	1503	Female	Latinx	0	0	1
229	895826	3.57	1700	Male	White	1	0	1
230	715662	3.7	1091	Female	Latinx	1	0	1
231	807475	3.33	1111	Female	Asian	0	0	1
232	666400	2.49	1272	Male	Latinx	0	0	1
233	574339	3.45	984	Male	Black	1	0	1
234	774135	3.68	1280	Male	Asian	0	0	1
235	542002	3.8	900	Female	Latinx	0	1	0
236	630166	3.53	1085	Female	Black	0	0	1
237	707845	3.8	1140	Female	Black	1	0	1
238	727573	3.08	1831	Male	Asian	0	0	1
239	552255	3.26	931	Female	Latinx	1	1	0
240	542888	3.29	1010	Male	Latinx	0	1	0
241	731798	4.35	1344	Male	Black	0	0	1
242	607578	2.92	695	Female	Latinx	0	0	1
243	639016	3.2	1688	Male	Asian	1	0	1
244	681491	3.62	1678	Female	Asian	1	0	1
245	594127	4.22	1430	Male	Latinx	0	0	1
246	575644	2.84	1352	Female	Black	1	0	1
247	302478	3.73	1881	Male	Asian	1	1	0
248	614449	3.87	1108	Female	Asian	0	0	1
249	799834	3.97	1312	Female	Asian	0	0	1
250	620343	3.42	1683	Male	White	0	0	1
251	642614	3.68	1050	Female	Latinx	1	0	1
252	686003	2.68	1149	Male	Latinx	1	0	1
253	545694	3.55	875	Male	Latinx	1	1	0
254	638664	3.61	1134	Female	Latinx	0	0	1
255	456553	3.06	1637	Male	Asian	1	1	0
256	633958	4.22	1675	Female	Black	0	0	1
257	560514	3.9	1506	Male	Latinx	0	1	0
258	271467	4.22	1394	Male	Asian	0	1	0
259	630105	4.1	1108	Female	Latinx	0	0	1
260	682435	3.79	1828	Female	Asian	1	0	1
261	879488	3.26	1449	Female	Asian	0	0	1
262	360306	2.82	1490	Female	White	0	1	0
263	639919	3.91	1114	Male	Latinx	0	0	1
264	644184	3.84	930	Female	Latinx	0	0	1
265	559792	3.21	1378	Male	White	0	1	0
266	982164	4.23	2119	Male	Asian	0	0	1
267	591995	3.85	962	Male	Latinx	0	0	1
268	802121	3.58	1622	Female	Asian	0	0	1
269	616347	3.4	1142	Female	Latinx	1	0	1
270	599966	4.26	783	Female	Latinx	0	0	1
271	843290	3.25	1594	Female	Asian	1	0	1
272	650423	3.62	1060	Male	Latinx	1	0	1
273	514255	4.06	764	Female	Latinx	0	1	0
274	597493	3.67	720	Female	Latinx	0	0	1
275	664723	4.11	1151	Male	Latinx	0	0	1
276	722262	2.64	1340	Male	Black	1	0	1
277	936116	4.77	1093	Female	Asian	0	0	1
278	537053	4.53	1089	Female	Black	1	1	0
279	599126	4.03	1385	Female	White	0	0	1
280	674671	4.25	1416	Male	Asian	1	0	1
281	564713	3.76	1215	Female	Latinx	0	1	0
282	794773	2.68	1621	Female	Other	0	0	1
283	617017	3.17	1151	Female	Latinx	0	0	1
284	597749	3.07	1057	Female	Black	0	0	1
285	550698	3.16	1175	Female	Latinx	1	1	0
286	634062	2.86	1362	Female	Black	1	0	1
287	800794	4.53	1695	Male	Asian	0	0	1
288	701344	3.25	1497	Female	Asian	0	0	1
289	657575	3.46	1283	Female	Asian	0	0	1
290	658449	4.22	1181	Female	Asian	1	0	1
291	530766	3.59	2020	Female	White	1	1	0
292	575417	3.27	1729	Male	Asian	0	1	1
293	570735	3.41	1171	Female	Latinx	1	0	1
294	1047695	3.46	1435	Female	Asian	1	0	1
295	474091	2.87	1409	Male	Latinx	1	1	0
296	642960	2.78	828	Male	Latinx	0	0	1
297	676365	3.18	1162	Male	Latinx	0	0	1
298	903037	4.19	1697	Female	Asian	1	0	1
299	646934	4.14	1465	Male	Asian	1	0	1
300	764660	3.78	1160	Male	Asian	1	0	1
301	571712	4.16	1055	Female	Latinx	1	1	1
302	600685	3.56	795	Female	Other	1	0	1
303	805861	3.95	1524	Female	Asian	0	0	1
304	632799	3.12	795	Female	Black	1	0	1
305	478550	3.74	961	Male	Latinx	0	1	0
306	518383	3.82	1633	Female	Asian	0	1	0
307	555420	4.23	991	Female	Asian	0	1	0
308	538950	3.19	874	Female	Latinx	0	1	0
309	505521	3.75	1391	Female	Asian	0	1	0
310	608665	3.87	1319	Female	Asian	1	0	1
311	582184	4.02	711	Male	Latinx	1	0	1
312	582690	3.64	1836	Male	Asian	1	1	1
313	662289	3.17	1795	Male	Asian	0	0	1
314	575237	3.92	1394	Female	Latinx	0	1	1
315	649351	2.68	1524	Male	Asian	0	0	1
316	796145	3.32	1486	Female	White	0	0	1
317	809447	4.34	1508	Male	Asian	0	0	1
318	685673	3.16	1467	Male	Latinx	1	0	1
319	1038332	3.83	1508	Male	Asian	1	0	1
320	643479	2.82	968	Male	Latinx	0	0	1
321	471259	2.78	1311	Male	Asian	1	1	0
322	577841	4.28	1615	Male	Latinx	0	1	1
323	669432	3.54	1179	Female	White	1	0	1
324	668689	2.77	1121	Female	Black	1	0	1
325	571209	3.82	1430	Male	Latinx	0	1	1
326	809454	2.8	988	Male	Asian	0	0	1
327	623746	2.88	1258	Male	Latinx	0	0	1
328	770319	3.27	1410	Female	White	1	0	1
329	506316	3.85	1326	Female	Black	0	1	0
330	819194	3.7	1304	Male	White	1	0	1
331	648248	3.59	1266	Female	Latinx	1	0	1
332	747516	3.76	1681	Male	Latinx	1	0	1
333	677831	3.85	1280	Female	Latinx	0	0	1
334	627790	3.13	932	Male	Latinx	0	0	1
335	587868	3.3	1227	Female	Latinx	1	0	1
336	719154	3.78	1604	Female	Asian	0	0	1
337	591528	3.63	1405	Male	Asian	0	0	1
338	654570	3.77	987	Female	Latinx	0	0	1
339	907875	3.19	1822	Male	Asian	0	0	1
340	1090051	3.51	1814	Female	Asian	1	0	1
341	633217	3.31	1675	Male	Asian	0	0	1
342	624163	3.56	2105	Male	White	0	0	1
343	553254	3.7	1209	Female	Latinx	1	1	0
344	641052	2.67	1191	Female	Latinx	1	0	1
345	675138	2.82	1262	Female	Latinx	1	0	1
346	795529	4.53	1304	Male	Asian	0	0	1
347	894286	3.21	1042	Female	Asian	0	0	1
348	677762	3.06	973	Female	Latinx	1	0	1
349	649786	3.79	1361	Male	Latinx	0	0	1
350	697316	3.69	1175	Female	Latinx	1	0	1
351	615069	3.38	1366	Male	Latinx	1	0	1
352	658801	4.12	1047	Female	Latinx	0	0	1
353	653749	3.43	1771	Female	Black	1	0	1
354	588858	3.36	1337	Male	Latinx	0	0	1
355	622012	4.37	1422	Male	Latinx	1	0	1
356	448322	3.35	909	Female	Asian	0	1	0
357	480993	4.42	1171	Female	Asian	0	1	0
358	780247	3.32	1336	Female	Asian	0	0	1
359	629941	3.3	1000	Male	Latinx	1	0	1
360	703912	3.62	1299	Female	Latinx	0	0	1
361	712738	4.18	1167	Female	Latinx	0	0	1
362	859182	4.02	1783	Male	White	0	0	1
363	698867	4.2	1271	Male	Asian	0	0	1
364	597441	3.7	1041	Female	Latinx	1	0	1
365	727503	3.73	1647	Male	Asian	1	0	1
366	558843	3.29	669	Male	Latinx	1	0	0
367	836627	4.37	2099	Male	Asian	0	0	1
368	598114	3.74	1174	Male	Latinx	1	0	1
369	563467	4.64	1256	Female	Latinx	0	1	0
370	641465	3.73	1309	Female	Latinx	1	0	1
371	802037	3.23	1520	Female	White	1	0	1
372	1046876	4.02	1511	Female	White	0	0	1
373	788381	4.09	2220	Female	Asian	1	0	1
374	686475	3.13	1381	Female	White	0	0	1
375	515203	3.53	1767	Male	Asian	1	1	0
376	786790	4.01	1730	Female	White	0	0	1
377	712054	3.37	1009	Female	Latinx	0	0	1
378	640731	4.78	1099	Female	Latinx	0	0	1
379	630931	3.07	1307	Male	Asian	0	0	1
380	662848	3.11	1068	Male	Asian	0	0	1
381	574734	3.05	776	Female	Latinx	0	0	1
382	706024	3.7	1230	Female	Latinx	0	0	1
383	607286	3.32	1051	Male	Latinx	0	0	1
384	683230	2.88	1509	Male	White	0	0	1
385	631758	4.24	1194	Female	Asian	1	0	1
386	709304	3.25	1745	Female	White	1	0	1
387	580955	2.94	943	Female	Latinx	0	0	1
388	633489	3.81	1282	Male	Asian	0	0	1
389	660523	4.04	1669	Male	Asian	0	0	1
390	668183	3.77	1918	Male	Asian	1	0	1
391	487699	3.75	1476	Female	Asian	0	1	0
392	524066	2.74	1206	Male	Black	0	1	0
393	665354	3.65	1910	Male	Asian	0	0	1
394	560946	3.66	1335	Female	Latinx	0	1	0
395	746310	3.09	1305	Male	Latinx	0	0	1
396	599857	3.98	1232	Female	Latinx	1	0	1
397	777204	3.69	1661	Male	Latinx	0	0	1
398	715419	3.21	1024	Female	Latinx	1	0	1
399	668156	3.13	1365	Male	Latinx	1	0	1
400	792824	3.0	1364	Male	Latinx	0	0	1
401	540818	2.91	974	Female	Black	0	1	0
402	683655	3.83	1299	Female	Latinx	0	0	1
403	649522	3.65	1468	Male	Asian	0	0	1
404	484941	4.25	1560	Female	Latinx	1	1	0
405	564201	3.73	1232	Female	White	0	1	0
406	611435	3.93	1943	Male	Asian	0	0	1
407	609838	3.33	785	Female	Latinx	0	0	1
408	739034	3.81	1786	Male	Asian	0	0	1
409	554158	3.18	823	Female	Latinx	0	1	0
410	872734	3.35	1627	Female	Asian	1	0	1
411	573645	3.95	1761	Male	Latinx	1	1	1
412	1053264	4.33	1475	Female	Asian	1	0	1
413	595792	3.39	1216	Female	Latinx	1	0	1
414	617699	3.29	1029	Female	Latinx	0	0	1
415	720380	3.34	1418	Female	Asian	1	0	1
416	757617	3.21	1444	Male	Latinx	0	0	1
417	415958	3.8	1659	Male	Asian	0	1	0
418	605241	3.98	1299	Female	Asian	1	0	1
419	501369	4.45	1992	Female	White	1	1	0
420	815726	3.76	1472	Female	Asian	1	0	1
421	571953	3.3	1015	Female	Latinx	0	0	1
422	736782	4.08	1445	Female	Asian	1	0	1
423	570964	3.08	1211	Female	Latinx	0	0	1
424	663150	3.18	1347	Female	Latinx	1	0	1
425	617657	4.73	1546	Female	Asian	0	0	1
426	685736	3.87	1996	Male	Asian	0	0	1
427	529056	3.6	1352	Female	Asian	0	1	0
428	495666	2.91	1016	Male	Asian	0	1	0
429	614645	3.43	1266	Female	Latinx	0	0	1
430	578364	3.43	1427	Female	Latinx	0	0	1
431	937303	4.05	1396	Female	Asian	0	0	1
432	707071	3.49	1359	Female	Latinx	0	0	1
433	400987	3.62	1512	Male	Asian	1	1	0
434	618983	4.01	995	Female	Latinx	1	0	1
435	556602	4.08	1369	Female	Latinx	1	1	0
436	564413	3.21	1341	Male	Latinx	1	1	0
437	619250	3.44	1345	Female	Latinx	1	0	1
438	811830	3.67	1409	Female	Asian	1	0	1
439	1003061	3.68	1587	Female	Asian	0	0	1
440	747645	3.67	1708	Female	Black	1	0	1
441	917644	3.28	1193	Female	Asian	1	0	1
442	770458	3.72	1294	Male	Black	1	0	1
443	640293	3.23	1205	Male	Latinx	0	0	1
444	911773	2.32	1219	Female	Asian	1	0	1
445	714423	4.63	1424	Female	Latinx	0	0	1
446	634992	3.1	871	Female	Latinx	1	0	1
447	681197	3.35	1489	Male	Latinx	0	0	1
448	541230	4.36	1502	Female	Asian	0	1	0
449	804640	3.79	1218	Male	Asian	0	0	1
450	706551	3.66	1273	Female	Latinx	1	0	1
451	371498	3.6	1297	Female	Other	0	1	0
452	732559	4.5	1182	Female	Asian	0	0	1
453	774652	3.8	1265	Male	White	0	0	1
454	755515	3.47	1446	Male	Latinx	0	0	1
455	542180	4.31	1371	Female	Latinx	0	1	0
456	511700	3.48	1326	Female	Asian	1	1	0
457	629377	3.59	1353	Female	Asian	1	0	1
458	651593	4.56	1176	Female	Latinx	1	0	1
459	634152	3.53	821	Male	Latinx	0	0	1
460	498735	2.7	1002	Female	Latinx	1	1	0
461	657227	3.55	1919	Female	White	1	0	1
462	832766	2.95	1151	Male	Asian	0	0	1
463	649087	3.37	1178	Female	Latinx	0	0	1
464	660517	4.26	1036	Female	Black	1	0	1
465	801224	3.19	1002	Female	Asian	0	0	1
466	738007	3.51	1375	Male	Latinx	0	0	1
467	1115280	3.0	1668	Male	Asian	0	0	1
468	690798	3.28	1311	Female	Latinx	0	0	1
469	406887	3.68	1122	Female	Asian	0	1	0
470	594904	3.86	1535	Male	Latinx	1	0	1
471	696988	3.21	1894	Male	White	0	0	1
472	600885	3.39	1119	Female	Latinx	0	0	1
473	619034	3.82	1046	Female	Latinx	0	0	1
474	508019	3.13	790	Female	Latinx	0	1	0
475	629804	2.97	1204	Female	Latinx	0	0	1
476	619639	3.65	1143	Female	Latinx	0	0	1
477	802274	3.44	1563	Female	Asian	1	0	1
478	811499	4.03	1564	Male	White	0	0	1
479	763699	3.86	1646	Female	Latinx	1	0	1
480	812990	3.57	1413	Female	Asian	0	0	1
481	803666	3.79	1702	Male	Asian	0	0	1
482	689777	3.54	1308	Female	White	1	0	1
483	706295	3.24	1166	Female	Asian	0	0	1
484	700718	2.69	1510	Male	Latinx	0	0	1
485	675592	3.64	1567	Female	Latinx	0	0	1
486	540217	2.97	1568	Male	Asian	1	1	0
487	583790	4.18	1510	Female	Latinx	0	1	1
488	776327	3.89	1008	Female	Asian	1	0	1
489	580817	3.83	1039	Male	Latinx	0	0	1
490	815341	4.0	1489	Female	Asian	1	0	1
491	922592	3.89	1761	Male	White	0	0	1
492	436233	3.46	1235	Female	Asian	1	1	0
493	712215	3.2	1308	Male	Asian	1	0	1
494	760106	3.85	1231	Female	Asian	0	0	1
495	752241	3.47	2003	Male	Latinx	1	0	1
496	522035	3.06	1450	Female	Asian	1	1	0
497	479276	4.35	1606	Male	Asian	0	1	0
498	808968	3.24	1353	Female	Asian	1	0	1
499	583612	3.9	1501	Female	Latinx	0	1	1
500	561731	3.3	1433	Male	Asian	0	1	0
501	597571	3.16	1217	Female	Latinx	0	0	1
502	625754	4.08	1753	Male	Asian	0	0	1
503	600126	3.24	957	Female	Latinx	1	0	1
504	546322	2.37	504	Male	Black	0	0	0
505	716805	3.73	1338	Male	White	0	0	1
506	744398	4.26	1507	Female	Asian	0	0	1
507	583682	3.93	774	Female	Latinx	0	0	1
508	583899	4.16	1351	Female	Latinx	1	0	1
509	590480	4.08	1307	Male	Latinx	1	0	1
510	418747	3.87	1306	Male	Asian	0	1	0
511	596539	3.47	921	Male	Latinx	0	0	1
512	618025	3.4	1495	Male	Asian	1	0	1
513	675718	3.85	1907	Male	White	1	0	1
514	698361	3.88	1546	Male	Latinx	1	0	1
515	707712	4.34	2158	Male	Asian	0	0	1
516	817753	5.02	2249	Female	White	0	0	1
517	674793	4.13	1289	Female	White	1	0	1
518	838715	3.64	1239	Female	Asian	0	0	1
519	497620	3.26	978	Male	Latinx	1	1	0
520	406736	3.67	1746	Male	Asian	0	1	0
521	695472	4.34	1687	Female	Latinx	0	0	1
522	633805	3.22	1138	Male	Latinx	0	0	1
523	736034	3.64	1624	Male	Asian	0	0	1
524	656336	2.37	1184	Female	Latinx	0	0	1
525	576929	3.88	1119	Male	Latinx	1	0	1
526	772316	3.08	1201	Female	Asian	0	0	1
527	494694	3.07	1919	Male	Asian	0	1	0
528	573631	3.33	1233	Female	Latinx	0	0	1
529	543256	3.57	1413	Female	Latinx	0	1	0
530	476758	3.75	1545	Male	Asian	0	1	0
531	603386	2.67	1128	Female	Latinx	1	0	1
532	437154	3.25	1779	Male	Asian	0	1	0
533	581319	2.96	1039	Male	Latinx	0	0	1
534	618541	4.37	1072	Female	Latinx	0	0	1
535	731985	4.01	1673	Female	Latinx	0	0	1
536	710648	4.03	1950	Female	Asian	1	0	1
537	801854	3.93	1481	Female	Asian	0	0	1
538	743105	2.91	1171	Male	Asian	1	0	1
539	637897	2.99	1683	Male	Latinx	0	0	1
540	632376	3.67	1239	Female	Black	0	0	1
541	304111	3.54	1829	Male	Asian	1	1	0
542	527800	3.94	1344	Female	Asian	0	1	0
543	489517	3.46	556	Female	Asian	1	1	0
544	667494	3.33	1963	Female	White	0	0	1
545	617332	3.93	1838	Male	Latinx	0	0	1
546	495946	3.18	928	Male	White	0	1	0
547	589443	3.08	988	Female	Latinx	1	0	1
548	647376	3.26	995	Female	Latinx	0	0	1
549	586220	3.53	1565	Male	Asian	1	0	1
550	968006	4.01	1586	Female	Asian	1	0	1
551	906658	3.78	1842	Female	Asian	0	0	1
552	908649	3.8	1378	Male	White	1	0	1
553	711432	3.05	2133	Male	Asian	1	0	1
554	554234	3.28	1728	Male	White	1	1	0
